"N...Region";"Comuna";"Region";"Comuna.1";"Poblacion";"Casos.Nuevos";"Contactos.Nuevos";"X.";"SE"
13;"Providencia";"Metropolitana";"Providencia";157749;"232";"501";"2.2";94
13;"El Monte";"Metropolitana";"El Monte";40014;"22";"47";"2.1";94
13;"Talagante";"Metropolitana";"Talagante";81838;"45";"96";"2.1";94
7;"Constitucion";"Maule";"Constitucion";50348;"10";"21";"2.1";94
13;"Las Condes";"Metropolitana";"Las Condes";330759;"231";"478";"2.1";94
3;"Diego de Almagro";"Atacama";"Diego de Almagro";14358;"2";"4";"2";94
4;"Paiguano";"Coquimbo";"Paiguano";4675;"1";"2";"2";94
4;"Vicuna";"Coquimbo";"Vicuna";29741;"5";"10";"2";94
5;"Calle Larga";"Valparaiso";"Calle Larga";16482;"3";"6";"2";94
5;"Rinconada";"Valparaiso";"Rinconada";11263;"4";"8";"2";94
13;"San Pedro";"Metropolitana";"San Pedro";11953;"1";"2";"2";94
6;"Placilla";"Del Libertador General Bernardo OHiggins";"Placilla";9164;"1";"2";"2";94
8;"Antuco";"Biobio";"Antuco";4306;"1";"2";"2";94
9;"Cunco";"La Araucania";"Cunco";18055;"1";"2";"2";94
9;"Ercilla";"La Araucania";"Ercilla";8458;"4";"8";"2";94
10;"Futaleufu";"Los Lagos";"Futaleufu";2806;"3";"6";"2";94
11;"Chile Chico";"Aisen";"Chile Chico";5121;"4";"8";"2";94
13;"Santiago";"Metropolitana";"Santiago";503147;"743";"1441";"1.9";94
11;"Aisen";"Aisen";"Aisen";25002;"4";"7";"1.8";94
5;"Puchuncavi";"Valparaiso";"Puchuncavi";20071;"33";"57";"1.7";94
13;"La Reina";"Metropolitana";"La Reina";100252;"95";"163";"1.7";94
6;"Palmilla";"Del Libertador General Bernardo OHiggins";"Palmilla";13299;"3";"5";"1.7";94
9;"Lumaco";"La Araucania";"Lumaco";10050;"3";"5";"1.7";94
16;"Pinto";"Nuble";"Pinto";11880;"2";"3";"1.5";94
9;"Gorbea";"La Araucania";"Gorbea";15148;"4";"6";"1.5";94
5;"San Esteban";"Valparaiso";"San Esteban";20643;"8";"11";"1.4";94
11;"Rio Ibanez";"Aisen";"Rio Ibanez";2699;"5";"6";"1.2";94
4;"Andacollo";"Coquimbo";"Andacollo";11791;"1";"1";"1";94
6;"Lolol";"Del Libertador General Bernardo OHiggins";"Lolol";7289;"1";"1";"1";94
16;"Treguaco";"Nuble";"Treguaco";5696;"1";"1";"1";94
9;"Perquenco";"La Araucania";"Perquenco";7223;"1";"1";"1";94
15;"Camarones";"Arica y Parinacota";"Camarones";1233;"−";"9";NA;94
15;"General Lagos";"Arica y Parinacota";"General Lagos";810;"−";"−";NA;94
15;"Putre";"Arica y Parinacota";"Putre";2515;"−";"−";NA;94
1;"Camina";"Tarapaca";"Camina";1375;"−";"3";NA;94
1;"Colchane";"Tarapaca";"Colchane";1583;"−";"−";NA;94
2;"Maria Elena";"Antofagasta";"Maria Elena";6814;"−";"4";NA;94
2;"Sierra Gorda";"Antofagasta";"Sierra Gorda";1746;"−";"−";NA;94
3;"Freirina";"Atacama";"Freirina";7681;"−";"4";NA;94
4;"Canela";"Coquimbo";"Canela";9546;"−";"2";NA;94
4;"La Higuera";"Coquimbo";"La Higuera";4450;"−";"3";NA;94
4;"Rio Hurtado";"Coquimbo";"Rio Hurtado";4372;"−";"2";NA;94
4;"Salamanca";"Coquimbo";"Salamanca";29110;"−";"5";NA;94
5;"Isla de Pascua";"Valparaiso";"Isla de Pascua";8277;"−";"−";NA;94
5;"Juan Fernandez";"Valparaiso";"Juan Fernandez";1033;"−";"−";NA;94
6;"Coltauco";"Del Libertador General Bernardo OHiggins";"Coltauco";21263;"−";"3";NA;94
6;"La Estrella";"Del Libertador General Bernardo OHiggins";"La Estrella";3114;"−";"2";NA;94
6;"Litueche";"Del Libertador General Bernardo OHiggins";"Litueche";6765;"−";"2";NA;94
6;"Marchihue";"Del Libertador General Bernardo OHiggins";"Marchihue";7632;"−";"1";NA;94
6;"Pumanque";"Del Libertador General Bernardo OHiggins";"Pumanque";3531;"−";"−";NA;94
7;"Chanco";"Maule";"Chanco";9331;"−";"4";NA;94
7;"Curepto";"Maule";"Curepto";9426;"−";"1";NA;94
7;"Empedrado";"Maule";"Empedrado";4206;"−";"1";NA;94
7;"Licanten";"Maule";"Licanten";6989;"−";"−";NA;94
7;"Rauco";"Maule";"Rauco";11248;"−";"2";NA;94
7;"Vichuquen";"Maule";"Vichuquen";4381;"−";"2";NA;94
16;"Coelemu";"Nuble";"Coelemu";16845;"−";"6";NA;94
16;"Ninhue";"Nuble";"Ninhue";5414;"−";"2";NA;94
16;"Pemuco";"Nuble";"Pemuco";8639;"−";"1";NA;94
16;"Portezuelo";"Nuble";"Portezuelo";4940;"−";"−";NA;94
16;"Ranquil";"Nuble";"Ranquil";6261;"−";"−";NA;94
16;"San Fabian";"Nuble";"San Fabian";4654;"−";"2";NA;94
8;"Florida";"Biobio";"Florida";11841;"−";"3";NA;94
8;"Quilaco";"Biobio";"Quilaco";4179;"−";"4";NA;94
8;"San Rosendo";"Biobio";"San Rosendo";3611;"−";"8";NA;94
8;"Santa Juana";"Biobio";"Santa Juana";14779;"−";"2";NA;94
8;"Tirua";"Biobio";"Tirua";11019;"−";"2";NA;94
9;"Lonquimay";"La Araucania";"Lonquimay";11049;"−";"1";NA;94
9;"Melipeuco";"La Araucania";"Melipeuco";6265;"−";"7";NA;94
9;"Puren";"La Araucania";"Puren";12188;"−";"12";NA;94
9;"Saavedra";"La Araucania";"Saavedra";12793;"−";"16";NA;94
9;"Teodoro Schmidt";"La Araucania";"Teodoro Schmidt";15786;"1";"−";NA;94
9;"Tolten";"La Araucania";"Tolten";10055;"−";"2";NA;94
9;"Traiguen";"La Araucania";"Traiguen";19314;"−";"−";NA;94
14;"Corral";"Los Rios";"Corral";5447;"1";"−";NA;94
14;"Futrono";"Los Rios";"Futrono";15261;"−";"2";NA;94
10;"Cochamo";"Los Lagos";"Cochamo";4006;"−";"4";NA;94
10;"Curaco de Velez";"Los Lagos";"Curaco de Velez";4066;"−";"1";NA;94
10;"Dalcahue";"Los Lagos";"Dalcahue";15069;"2";"−";NA;94
10;"Fresia";"Los Lagos";"Fresia";12656;"−";"−";NA;94
10;"Hualaihue";"Los Lagos";"Hualaihue";9525;"−";"−";NA;94
10;"Palena";"Los Lagos";"Palena";1827;"−";"−";NA;94
10;"Puqueldon";"Los Lagos";"Puqueldon";4201;"−";"−";NA;94
10;"Quinchao";"Los Lagos";"Quinchao";8298;"1";"−";NA;94
10;"San Juan de la Costa";"Los Lagos";"San Juan de la Costa";7639;"−";"8";NA;94
11;"Guaitecas";"Aisen";"Guaitecas";1599;"−";"−";NA;94
11;"Lago Verde";"Aisen";"Lago Verde";920;"−";"−";NA;94
11;"O'Higgins";"Aisen";"O'Higgins";661;"−";"−";NA;94
11;"Tortel";"Aisen";"Tortel";572;"−";"−";NA;94
12;"Antartica";"Magallanes y la Antartica";"Antartica";137;"−";"−";NA;94
12;"Cabo de Hornos";"Magallanes y la Antartica";"Cabo de Hornos";1983;"−";"−";NA;94
12;"Laguna Blanca";"Magallanes y la Antartica";"Laguna Blanca";264;"−";"−";NA;94
12;"Porvenir";"Magallanes y la Antartica";"Porvenir";7323;"−";"−";NA;94
12;"Primavera";"Magallanes y la Antartica";"Primavera";694;"−";"−";NA;94
12;"Rio Verde";"Magallanes y la Antartica";"Rio Verde";211;"−";"−";NA;94
12;"San Gregorio";"Magallanes y la Antartica";"San Gregorio";681;"−";"−";NA;94
